,10069.5,49.333,2.44,102.975,31.58,-999,-999,-999,17.902,-999,-999,-999,9496.64453,39.78279,40.98893,56.22762,-999,-999,-999,-999
,10070,49.334,2.449,104.55,30.4,-999,-999,-999,17.852,-999,-999,-999,9497.11621,39.90313,41.10463,56.39083,-999,-999,-999,-999
,10070.5,49.335,2.453,105.338,28.04,-999,-999,-999,17.801,-999,-999,-999,9497.58789,40.02349,41.22028,56.55402,-999,-999,-999,-999
,10071,46.974,2.449,104.727,24.98,-999,-999,-999,17.648,-999,-999,-999,9498.05859,40.14387,41.33589,56.71717,-999,-999,-999,-999
,10071.5,44.613,2.449,104.126,22.72,-999,-999,-999,17.394,-999,-999,-999,9498.53027,40.26427,41.45147,56.88032,-999,-999,-999,-999
,10072,43.826,2.458,103.762,21.56,-999,-999,-999,17.242,-999,-999,-999,9499.00195,40.3847,41.56701,57.04345,-999,-999,-999,-999
,10072.5,43.04,2.452,102.187,21.54,-999,-999,-999,17.191,-999,-999,-999,9499.47266,40.50515,41.6825,57.20656,-999,-999,-999,-999
,10073,43.829,2.462,100.453,22.54,-999,-999,-999,17.191,-999,-999,-999,9499.94434,40.62563,41.79796,57.36964,-999,-999,-999,-999
,10073.5,45.22,2.485,99.037,23.72,-999,-999,-999,17.14,-999,-999,-999,9500.41602,40.74612,41.91338,57.53271,-999,-999,-999,-999
,10074,46.194,2.482,97.854,23.44,-999,-999,-999,17.14,-999,-999,-999,9500.88672,40.86664,42.02876,57.69576,-999,-999,-999,-999
,10074.5,46.195,2.477,96.675,23.12,-999,-999,-999,17.14,-999,-999,-999,9501.3584,40.98719,42.14411,57.85879,-999,-999,-999,-999
,10075,45.41,2.49,96.675,23.16,-999,-999,-999,17.14,-999,-999,-999,9501.8291,41.10775,42.25941,58.0218,-999,-999,-999,-999
,10075.5,44.624,2.474,96.675,22.48,-999,-999,-999,17.14,-999,-999,-999,9502.30078,41.22834,42.37468,58.18479,-999,-999,-999,-999
